C    0.286367
H   -0.014838
H    0.014715
C    0.131012
H   -0.005705
C   -0.097878
H    0.029874
H   -0.032501
C    0.044974
H   -0.011562
H   -0.004626
C    0.094297
H   -0.014600
H   -0.042545
C   -0.040653
H   -0.016196
H    0.003237
C    0.097048
H   -0.034588
H   -0.036895
C    0.103910
H   -0.034742
H   -0.040935
C   -0.009156
H   -0.019495
H   -0.018025
C    0.029750
H   -0.017210
H   -0.021481
C    0.229373
H   -0.058077
H   -0.057024
C   -0.157986
H    0.023259
H    0.020654
H    0.023709
C    0.000883
H   -0.025094
H   -0.026165
C    0.057786
H   -0.048927
H   -0.012614
C    0.056856
H   -0.004779
H   -0.018332
C    0.052552
H   -0.028350
H   -0.022580
C   -0.045055
H   -0.000335
H   -0.010063
C    0.061594
H   -0.018477
H   -0.017621
C    0.175373
H   -0.036089
H   -0.046503
C   -0.159931
H    0.029174
H    0.020081
H    0.028285
C    0.228188
H    0.000827
H    0.019340
C    0.101332
H   -0.024878
C   -0.135584
H    0.026367
H   -0.020350
C    0.187801
H   -0.046597
H   -0.033541
C    0.017531
H   -0.018010
H   -0.021669
C   -0.043968
H   -0.009888
H    0.007997
C    0.101624
H   -0.022882
H   -0.033475
C    0.056990
H   -0.024014
H   -0.026704
C    0.009413
H   -0.026074
H   -0.018598
C    0.027896
H   -0.016722
H   -0.020420
C    0.224059
H   -0.054717
H   -0.057315
C   -0.151919
H    0.021945
H    0.019778
H    0.025335
C    0.090430
H   -0.004885
H   -0.023150
C   -0.053656
H   -0.028378
H    0.008121
C    0.054814
H   -0.016844
H   -0.014203
C    0.123874
H   -0.039881
H   -0.034810
C   -0.097157
H    0.008295
H   -0.002575
C    0.081827
H   -0.026796
H   -0.020940
C    0.176524
H   -0.035505
H   -0.045348
C   -0.157094
H    0.025381
H    0.020107
H    0.028152
